player_name,player_id,pa,avg_bat_speed,hard_hit_pct,barrel_pct,bb_pct,contact_pct,avg,obp,slg,iso
Jesse Winker,608385,508,69.5,37.4,7.6,12.4,81.6,0.253,0.36,0.405,0.151
Lane Thomas,657041,528,71.7,40.6,7.4,8.3,79.5,0.237,0.309,0.4,0.163
Ben Rortvedt,666163,328,69.7,30.7,3.5,10.4,74.2,0.228,0.317,0.303,0.076
Max Schuemann,680474,459,68.3,37.4,5.6,10.2,73.9,0.22,0.311,0.308,0.088
Nick Gonzales,693304,387,71.1,36.9,7.9,4.7,76.9,0.27,0.311,0.398,0.128
LaMonte Wade Jr.,664774,401,72.4,44.1,9.4,15.5,78.0,0.26,0.38,0.381,0.121
Michael Conforto,624424,488,74.1,46.0,11.8,8.6,77.2,0.237,0.309,0.45,0.212
Ozzie Albies,645277,435,69.1,32.0,6.2,6.2,80.7,0.251,0.303,0.404,0.153
Andy Pages,681624,443,73.1,40.1,10.7,6.5,77.7,0.248,0.305,0.407,0.159
Jeff McNeil,643446,472,68.8,31.1,3.1,7.4,84.0,0.238,0.308,0.384,0.146
Maikel Garcia,672580,626,70.8,42.8,3.7,6.7,85.6,0.231,0.281,0.332,0.101
Harrison Bader,664056,437,71.2,35.5,6.4,4.8,77.4,0.236,0.284,0.373,0.137
Leody Taveras,665750,529,71.3,35.5,5.9,7.9,75.8,0.229,0.289,0.352,0.123
Justin Turner,457759,539,65.1,32.5,4.6,10.9,85.0,0.259,0.354,0.383,0.124
Paul Goldschmidt,502671,654,72.5,49.6,10.7,7.2,74.9,0.245,0.302,0.414,0.169
Royce Lewis,668904,325,73.3,37.7,11.2,8.6,75.2,0.233,0.295,0.452,0.219
Connor Wong,657136,487,72.0,34.5,6.3,5.7,73.5,0.28,0.333,0.425,0.145
Johan Rojas,679032,363,71.3,27.4,2.5,3.6,78.8,0.243,0.279,0.322,0.08
Luis Arraez,650333,672,63.1,23.7,1.6,3.6,94.2,0.314,0.346,0.392,0.078
Mauricio Dubón,643289,428,69.4,26.5,2.8,3.7,83.4,0.269,0.296,0.361,0.092
Michael Siani,672279,334,68.9,22.6,2.3,6.3,73.4,0.228,0.285,0.285,0.057
Jorge Soler,624585,574,75.4,44.1,12.6,11.8,72.8,0.241,0.338,0.442,0.201
Brayan Rocchio,677587,442,69.5,22.3,4.0,10.0,78.6,0.206,0.298,0.316,0.11
George Springer,543807,614,71.9,37.4,9.3,9.8,76.9,0.22,0.303,0.371,0.15
Mike Tauchman,643565,350,69.3,41.0,7.4,13.4,80.6,0.248,0.357,0.366,0.117
Jose Miranda,669304,429,71.0,38.9,5.9,4.2,79.8,0.284,0.322,0.441,0.157
Wenceel Pérez,672761,425,70.2,30.6,4.3,7.5,81.1,0.242,0.3,0.383,0.141
Ceddanne Rafaela,678882,571,70.1,36.9,7.5,2.6,69.6,0.246,0.274,0.39,0.143
Zach McKinstry,656716,325,67.2,32.6,4.3,7.4,80.4,0.215,0.277,0.337,0.121
Tyrone Taylor,621438,345,70.5,35.3,7.1,5.5,79.2,0.248,0.299,0.401,0.154
Jake Fraley,641584,382,71.8,24.7,3.2,6.8,79.9,0.277,0.33,0.386,0.109
Josh Lowe,666139,387,73.3,46.1,10.3,8.3,72.9,0.241,0.302,0.391,0.15
Oswaldo Cabrera,665828,326,68.3,34.9,3.7,6.4,82.3,0.247,0.296,0.365,0.117
Max Kepler,596146,399,71.4,36.8,6.2,5.5,78.0,0.253,0.302,0.38,0.128
Ramón Urías,602104,301,70.5,38.5,8.7,7.6,75.6,0.254,0.322,0.423,0.169
Nicky Lopez,670032,445,64.2,16.9,1.5,8.3,82.0,0.241,0.312,0.294,0.053
Masataka Yoshida,807799,421,70.9,37.5,5.5,6.4,86.9,0.28,0.349,0.415,0.135
Jonny DeLuca,676356,362,70.8,28.0,3.9,6.6,78.4,0.217,0.278,0.331,0.114
Mark Canha,592192,462,68.4,37.4,3.3,11.0,80.4,0.242,0.344,0.346,0.104
Giancarlo Stanton,519317,459,81.2,55.3,20.7,8.3,68.4,0.233,0.298,0.475,0.242
Orlando Arcia,606115,602,70.9,37.8,5.3,6.8,76.5,0.218,0.271,0.354,0.136
Donovan Solano,456781,309,67.1,37.4,3.7,7.1,78.7,0.286,0.343,0.417,0.131
Brendan Rodgers,663898,539,71.7,44.1,5.6,5.8,76.3,0.267,0.314,0.407,0.14
Christian Vázquez,543877,315,68.3,36.6,3.8,3.5,81.7,0.221,0.248,0.327,0.105
Nolan Schanuel,694384,607,65.2,25.4,3.5,11.2,86.8,0.25,0.343,0.362,0.112
Abraham Toro,647351,364,69.6,29.6,4.3,5.5,85.0,0.24,0.293,0.35,0.11
Gio Urshela,570482,461,68.2,28.4,4.9,5.0,82.2,0.25,0.286,0.361,0.111
Alec Burleson,676475,595,71.2,41.7,6.5,5.9,83.0,0.269,0.314,0.42,0.152
Kevin Pillar,607680,314,69.4,29.7,3.7,5.1,78.1,0.229,0.291,0.377,0.148
Enrique Hernández,571771,393,71.7,41.5,4.8,6.9,78.3,0.229,0.281,0.373,0.144
Alex Verdugo,657077,621,68.3,34.9,5.6,7.9,86.6,0.233,0.291,0.356,0.123
Miguel Amaya,665804,363,72.9,33.9,4.7,6.3,79.3,0.232,0.288,0.357,0.125
Starling Marte,516782,370,72.4,42.9,6.9,7.3,74.6,0.269,0.327,0.388,0.119
J.D. Martinez,502110,495,73.0,46.1,14.9,9.9,70.2,0.235,0.32,0.406,0.171
Nick Fortes,663743,335,71.3,22.6,1.4,3.3,87.7,0.227,0.259,0.318,0.091
Luis Robert Jr.,673357,425,74.6,40.7,9.9,6.6,66.9,0.224,0.278,0.379,0.155
Danny Jansen,643376,324,69.0,29.7,6.4,12.3,81.3,0.205,0.309,0.349,0.144
Jarred Kelenic,672284,449,72.7,45.2,9.9,7.1,68.9,0.231,0.286,0.393,0.163
Connor Joe,656582,416,72.1,32.7,4.7,10.6,77.1,0.228,0.32,0.368,0.14
Andrew McCutchen,457705,515,72.7,36.9,12.0,11.3,73.7,0.232,0.328,0.411,0.179
Elias Díaz,553869,351,73.9,34.5,4.7,5.7,73.5,0.265,0.313,0.382,0.117
Will Brennan,686823,353,69.0,32.5,4.6,5.4,84.2,0.264,0.309,0.388,0.124
Whit Merrifield,593160,335,63.4,21.6,2.4,10.4,83.0,0.222,0.311,0.314,0.092
Miguel Andujar,609280,319,71.6,33.7,2.7,4.1,85.8,0.285,0.32,0.377,0.093
Jared Triolo,669707,446,70.5,39.1,5.3,9.4,74.8,0.216,0.296,0.315,0.099
Thairo Estrada,642731,381,71.0,31.7,4.8,2.6,80.4,0.217,0.247,0.343,0.126
Michael Toglia,669911,458,73.2,50.2,17.3,11.8,66.7,0.218,0.311,0.456,0.238
Tyler Freeman,671289,383,71.7,34.6,3.2,7.3,85.5,0.209,0.305,0.321,0.112
Davis Schneider,676914,454,69.8,38.0,12.0,10.4,71.6,0.191,0.282,0.343,0.151
Emmanuel Rivera,656896,302,69.6,44.1,7.9,8.6,73.2,0.238,0.312,0.343,0.106
Jorge Polanco,593871,469,69.7,37.4,8.9,9.8,73.6,0.213,0.296,0.355,0.141
Nolan Gorman,669357,402,73.2,38.6,16.7,8.5,63.5,0.203,0.271,0.4,0.197
Bo Bichette,666182,336,70.4,43.5,4.4,6.0,80.5,0.225,0.277,0.322,0.096
TJ Friedl,670770,341,70.5,31.5,3.2,7.6,83.8,0.226,0.31,0.38,0.155
Nick Castellanos,592206,659,71.9,38.2,8.1,6.2,72.4,0.254,0.311,0.431,0.177
Amed Rosario,642708,346,71.2,36.2,4.6,2.6,78.1,0.28,0.306,0.38,0.099
Rhys Hoskins,656555,517,71.2,42.2,12.7,10.3,77.1,0.214,0.303,0.419,0.205
Ezequiel Duran,677649,285,72.6,35.9,3.4,4.9,76.6,0.246,0.288,0.321,0.075
Mickey Moniak,666160,418,73.1,34.4,9.3,5.0,72.6,0.219,0.266,0.38,0.161
Jo Adell,666176,451,76.7,44.7,11.7,7.8,72.1,0.207,0.28,0.402,0.195
Ke'Bryan Hayes,663647,396,72.1,42.9,2.4,5.8,84.2,0.233,0.283,0.29,0.058
Hunter Renfroe,592669,424,75.2,39.4,6.6,8.5,78.1,0.229,0.297,0.392,0.164
Lenyn Sosa,672820,369,71.7,41.2,6.1,3.3,82.1,0.254,0.283,0.359,0.105
Spencer Torkelson,679529,381,73.6,39.7,6.7,8.7,76.0,0.219,0.295,0.374,0.155
Charlie Blackmon,453568,499,67.4,27.2,5.2,8.6,82.6,0.256,0.329,0.412,0.156
Santiago Espinal,669289,391,66.5,24.1,1.9,6.1,87.0,0.246,0.295,0.356,0.109
Ildemaro Vargas,545121,303,69.6,31.9,1.2,6.3,88.8,0.246,0.295,0.316,0.07
Tommy Pham,502054,478,72.6,42.7,7.2,7.3,78.7,0.248,0.305,0.368,0.12
Jonah Heim,641680,491,70.3,36.4,5.9,5.3,82.2,0.22,0.267,0.336,0.115
Josh Bell,605137,603,70.4,40.1,7.6,8.5,76.7,0.249,0.319,0.405,0.156
Jon Singleton,572138,405,72.1,37.2,8.9,11.6,71.7,0.234,0.321,0.386,0.152
Andrew Vaughn,683734,619,70.8,43.3,9.3,6.1,79.8,0.246,0.297,0.402,0.156
Andrew Benintendi,643217,522,68.0,34.4,6.3,7.9,82.0,0.229,0.289,0.396,0.168
Adolis García,666969,637,72.0,48.2,12.5,7.1,67.8,0.224,0.284,0.4,0.176
Anthony Rizzo,519203,375,68.5,33.2,4.0,7.2,82.5,0.228,0.301,0.335,0.107
Manuel Margot,622534,343,72.0,33.6,4.9,6.1,81.4,0.238,0.289,0.337,0.098
MJ Melendez,669004,451,72.8,45.2,8.4,7.8,73.7,0.206,0.273,0.4,0.194
Jeimer Candelario,600869,463,68.4,34.5,8.2,5.8,73.6,0.225,0.279,0.429,0.204
Keibert Ruiz,660688,485,66.4,25.6,3.2,3.3,88.7,0.229,0.26,0.359,0.131
Jake Cave,595909,346,69.5,37.1,5.2,5.2,74.4,0.251,0.29,0.396,0.146
Seth Brown,664913,400,73.3,40.6,8.4,6.2,73.1,0.231,0.282,0.379,0.148
Korey Lee,686676,394,71.4,37.6,7.5,4.3,66.7,0.21,0.244,0.347,0.138
Mitch Garver,641598,430,71.2,39.7,8.4,12.3,71.9,0.172,0.286,0.341,0.169
Rowdy Tellez,642133,421,74.4,36.5,8.0,7.4,79.3,0.243,0.299,0.392,0.149
Luis Campusano,669134,299,69.2,34.2,4.6,6.7,81.2,0.227,0.281,0.361,0.134
